,time,user,session,userAgent,screenWidth,screenHeight,windowWidth,windowHeight,resolution,graph,position,scenario,story,globalPosition,minTime,timeDelta
1,1549274583177,1549274269235-0.1jsc8jkhrlrj,1549274269236-0.yzc7jfhnfej,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0,2560,1440,1559,953,2.0,gender,0.9279999999999999,juxtaposed-animated,demographics,0.9279999999999999,1549274583177,0.0
2,1549274583180,1549274269235-0.1jsc8jkhrlrj,1549274269236-0.yzc7jfhnfej,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0,2560,1440,1559,953,2.0,gender-highlight,0.06,juxtaposed-animated,demographics,1.06,1549274583177,0.003
3,1549274583210,1549274269235-0.1jsc8jkhrlrj,1549274269236-0.yzc7jfhnfej,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0,2560,1440,1559,953,2.0,gender,0.98,juxtaposed-animated,demographics,0.98,1549274583177,0.033
4,1549274583214,1549274269235-0.1jsc8jkhrlrj,1549274269236-0.yzc7jfhnfej,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0,2560,1440,1559,953,2.0,gender-highlight,0.125,juxtaposed-animated,demographics,1.125,1549274583177,0.037
5,1549274583243,1549274269235-0.1jsc8jkhrlrj,1549274269236-0.yzc7jfhnfej,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0,2560,1440,1559,953,2.0,gender-highlight,0.39,juxtaposed-animated,demographics,1.3900000000000001,1549274583177,0.066
6,1549274583276,1549274269235-0.1jsc8jkhrlrj,1549274269236-0.yzc7jfhnfej,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0,2560,1440,1559,953,2.0,gender-highlight,0.57,juxtaposed-animated,demographics,1.5699999999999998,1549274583177,0.099
7,1549274583309,1549274269235-0.1jsc8jkhrlrj,1549274269236-0.yzc7jfhnfej,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0,2560,1440,1559,953,2.0,gender-highlight,0.655,juxtaposed-animated,demographics,1.655,1549274583177,0.132
8,1549274583343,1549274269235-0.1jsc8jkhrlrj,1549274269236-0.yzc7jfhnfej,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0,2560,1440,1559,953,2.0,gender-highlight,0.895,juxtaposed-animated,demographics,1.895,1549274583177,0.166
9,1549274583377,1549274269235-0.1jsc8jkhrlrj,1549274269236-0.yzc7jfhnfej,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0,2560,1440,1559,953,2.0,move-highlight,0.06,juxtaposed-animated,demographics,,1549274583177,0.2
10,1549274583409,1549274269235-0.1jsc8jkhrlrj,1549274269236-0.yzc7jfhnfej,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0,2560,1440,1559,953,2.0,move-highlight,0.115,juxtaposed-animated,demographics,,1549274583177,0.232
