session,session,time,scenario
1549274269236-0.yzc7jfhnfej,1549274269236-0.yzc7jfhnfej,2019-02-04 10:03:03.177,juxtaposed-animated
1549274965230-0.ak1aliaur6m,1549274965230-0.ak1aliaur6m,2019-02-04 10:09:25.230,juxtaposed-animated
1549279055384-0.mwexfjwczs,1549279055384-0.mwexfjwczs,2019-02-04 11:17:35.384,juxtaposed-animated
1549279062844-0.453sw2moigx,1549279062844-0.453sw2moigx,2019-02-04 11:17:42.844,juxtaposed-animated
1549292458625-0.pkpw7noxup,1549292458625-0.pkpw7noxup,2019-02-04 15:00:58.625,juxtaposed-animated
1549306266670-0.7gh6fnk0ows,1549306266670-0.7gh6fnk0ows,2019-02-04 18:51:06.671,superposed-static
1549306524526-0.5l0et3tikfp,1549306524526-0.5l0et3tikfp,2019-02-04 18:55:24.526,superposed-static
1549306533943-0.rxo9xa62ero,1549306533943-0.rxo9xa62ero,2019-02-04 18:55:33.943,superposed-static
1549306537353-0.es73cx8bgt,1549306537353-0.es73cx8bgt,2019-02-04 18:55:37.353,superposed-static
1549306541856-0.tza67t8rk19,1549306541856-0.tza67t8rk19,2019-02-04 18:55:41.856,superposed-static
1549306775878-0.9m54ldeesnq,1549306775878-0.9m54ldeesnq,2019-02-04 18:59:35.878,superposed-animated
1549306782707-0.uccrwuw7nb,1549306782707-0.uccrwuw7nb,2019-02-04 18:59:42.707,superposed-animated
1549306786650-0.niwwys6usm,1549306786650-0.niwwys6usm,2019-02-04 18:59:46.650,superposed-animated
1549306790021-0.bnxqz5diw0k,1549306790021-0.bnxqz5diw0k,2019-02-04 18:59:50.022,superposed-animated
1549306795129-0.w8ih3ibc80c,1549306795129-0.w8ih3ibc80c,2019-02-04 18:59:55.129,superposed-animated
1549306813666-0.ep4ks12s3hn,1549306813666-0.ep4ks12s3hn,2019-02-04 19:00:13.666,juxtaposed-animated
1549306821053-0.vo08xbd9yx,1549306821053-0.vo08xbd9yx,2019-02-04 19:00:21.053,juxtaposed-animated
1549306826497-0.c9l07qtuhh,1549306826497-0.c9l07qtuhh,2019-02-04 19:00:26.497,juxtaposed-animated
1549306830774-0.k0ao50ezdc,1549306830774-0.k0ao50ezdc,2019-02-04 19:00:30.774,juxtaposed-animated
1549306836422-0.h4yrmqsr36g,1549306836422-0.h4yrmqsr36g,2019-02-04 19:00:36.422,juxtaposed-animated
1549306843956-0.i1nbzh5wvq,1549306843956-0.i1nbzh5wvq,2019-02-04 19:00:43.956,juxtaposed-static
1549306850155-0.tx31vdv08nb,1549306850155-0.tx31vdv08nb,2019-02-04 19:00:50.156,juxtaposed-static
1549306853255-0.czvaxqqez,1549306853255-0.czvaxqqez,2019-02-04 19:00:53.256,juxtaposed-static
1549306857330-0.h2tyba91hii,1549306857330-0.h2tyba91hii,2019-02-04 19:00:57.330,juxtaposed-static
1549306862810-0.j2qiu3csuu,1549306862810-0.j2qiu3csuu,2019-02-04 19:01:02.810,juxtaposed-static
1549312331726-0.q3qk6cdwddm,1549312331726-0.q3qk6cdwddm,2019-02-04 20:32:11.726,superposed-animated
1549312378063-0.lbsl6h037cq,1549312378063-0.lbsl6h037cq,2019-02-04 20:32:58.063,superposed-animated
