date,MotorAccident5-24,MotorAccident25-44,MotorAccident45-54,MotorAccident55-64,MotorAccidentElse,Suicide5-24,Suicide25-44,Suicide45-54,Suicide55-64,SuicideElse
1968/1/1 00:00,20648,13602,5875,5156,9581,2475,6664,4477,3897,3859
1969/1/1 00:00,21488,13868,5850,5162,9423,2867,7002,4490,3875,4130
1970/1/1 00:00,20879,13446,5913,5186,9209,3260,7413,4638,3984,4185
1971/1/1 00:00,21359,13307,5548,4923,9244,3620,7439,4664,4064,4305
1972/1/1 00:00,22200,13758,5838,4998,9484,3978,7832,4716,4090,4388
1973/1/1 00:00,22156,14013,5444,4772,9126,4255,7976,4634,3921,4332
1974/1/1 00:00,19237,11834,4357,3802,7172,4473,8481,4657,3845,4227
1975/1/1 00:00,18958,11969,4089,3574,7263,4906,8991,4766,3963,4437
1976/1/1 00:00,19825,12112,4118,3652,7331,4910,8823,4541,4005,4553
1977/1/1 00:00,21234,13031,4148,3852,7245,5755,9782,4417,3951,4776
1978/1/1 00:00,22294,14574,4166,3882,7495,5268,9503,3976,3748,4799
1979/1/1 00:00,22321,15658,4257,3905,7383,5398,9733,3789,3568,4718
1980/1/1 00:00,21787,16133,4235,3787,7230,5381,9855,3623,3456,4554
1981/1/1 00:00,19938,16447,4021,3797,7182,5328,10550,3629,3589,4500
1982/1/1 00:00,17625,14469,3524,3355,6806,5225,10631,3710,3741,4935
1983/1/1 00:00,16530,14323,3430,3260,6909,5050,10644,3629,3673,5299
1984/1/1 00:00,17001,15036,3460,3494,7272,5258,10994,3648,3850,5536
1985/1/1 00:00,16596,15034,3423,3462,7386,5399,11002,3532,3725,5795
1986/1/1 00:00,17577,15844,3442,3357,7645,5375,11724,3736,3782,6287
1987/1/1 00:00,16844,16405,3576,3445,8020,5175,11787,3707,3650,6477
1988/1/1 00:00,16829,16580,3825,3420,8424,5172,11915,3532,3406,6382
1989/1/1 00:00,15207,16571,3879,3408,8510,5110,11896,3642,3342,6242
1990/1/1 00:00,14666,16488,3917,3365,8378,5133,12267,3718,3383,6405
1991/1/1 00:00,13675,15082,3632,2984,8163,5017,12281,3983,3241,6288
1992/1/1 00:00,12209,14071,3721,2876,8105,5007,12181,4018,3105,6173
1993/1/1 00:00,12463,14283,3803,2908,8436,5170,12477,4168,3061,6226
1994/1/1 00:00,12686,13966,4174,2923,8775,5278,12729,4296,2812,6027
1995/1/1 00:00,12655,14618,4333,3095,8662,5121,12759,4532,2804,6068
1996/1/1 00:00,12556,14482,4553,3196,8862,4660,12602,4837,2925,5879
1997/1/1 00:00,12175,14167,4805,3329,8982,4493,12402,4948,2946,5746
1998/1/1 00:00,11894,14095,4996,3420,9096,4459,12202,5131,2963,5820
1999/1/1 00:00,11899,13516,4972,3370,8644,4145,11572,5081,2896,5505
2000/1/1 00:00,12332,13811,5361,3506,8344,4301,11354,5437,2945,5313
2001/1/1 00:00,12411,14020,5564,3465,8328,4250,11705,5942,3317,5408
2002/1/1 00:00,13073,14169,5937,3764,8437,4274,11897,6308,3618,5558
2003/1/1 00:00,12614,13794,6074,3958,8317,4238,11667,6481,3843,5255
2004/1/1 00:00,12640,13699,6276,4093,8225,4601,11712,6906,4011,5209
2005/1/1 00:00,12355,13987,6397,4454,8150,4484,11540,6991,4210,5412
2006/1/1 00:00,12354,14025,6615,4518,7804,4408,11576,7426,4583,5307
2007/1/1 00:00,11853,13457,6530,4359,7746,4324,12000,7778,5069,5427
2008/1/1 00:00,9973,12242,6101,4356,7118,4520,12003,8287,5465,5760
2009/1/1 00:00,8662,10953,5695,4082,6824,4636,11997,8598,5808,5870
2010/1/1 00:00,8140,10491,5392,4335,6974,4874,12306,8799,6384,6001
